"Name","DisplayName","ProcessId","StartName","State","PathName"
"mpssvc","Windows Defender Firewall","3132","NT Authority\LocalService","Running","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"Wcmsvc","Windows Connection Manager","3520","NT Authority\LocalService","Running","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc"
"PenService_1f4c24","PenService_1f4c24","3768",,"Running","C:\Windows\system32\svchost.exe -k PenService"
"AMD Crash Defender Service","AMD Crash Defender Service","3840","LocalSystem","Running","C:\Windows\System32\DriverStore\FileRepository\amdfendr.inf_amd64_1da2893e2ffb6838\amdfendrsr.exe"
"AMD External Events Utility","AMD External Events Utility","3848","LocalSystem","Running","C:\Windows\System32\DriverStore\FileRepository\u0412269.inf_amd64_a4cc787315a2ff5b\B412205\atiesrxx.exe"
"whesvc","Windows Health and Optimized Experiences","3892","LocalSystem","Running","C:\Windows\system32\svchost.exe -k whesvc -p"
"WpnUserService_1f4c24","Windows Push Notifications User Service_1f4c24","3896",,"Running","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"OneSyncSvc_1f4c24","Sync Host_1f4c24","3896",,"Running","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"CDPUserSvc_1f4c24","Connected Devices Platform User Service_1f4c24","3896",,"Running","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"RasMan","Remote Access Connection Manager","3980","localSystem","Running","C:\Windows\System32\svchost.exe -k netsvcs"
"nvagent","Network Virtualization Service","3980","LocalSystem","Running","C:\Windows\system32\svchost.exe -k NetSvcs"
"SENS","System Event Notification Service","4344","LocalSystem","Running","C:\Windows\system32\svchost.exe -k netsvcsRedirectionGuard -p"
"Audiosrv","Windows Audio","4396","NT AUTHORITY\LocalService","Running","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"camsvc","Capability Access Manager Service","4948","LocalSystem","Running","C:\Windows\system32\svchost.exe -k osprivacy -p"
"PolicyAgent","IPsec Policy Agent","5096","NT Authority\NetworkService","Running","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p"
"WlanSvc","WLAN AutoConfig","5280","LocalSystem","Running","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Spooler","Print Spooler","5344","LocalSystem","Running","C:\Windows\System32\spoolsv.exe"
