Id,ProcessName,Path,StartTime
16600,Code,C:\Users\lucas\AppData\Local\Programs\Microsoft VS Code\Code.exe,3/14/2026 9:23:52 PM
18768,Code,C:\Users\lucas\AppData\Local\Programs\Microsoft VS Code\Code.exe,3/14/2026 9:23:51 PM
19792,Code,C:\Users\lucas\AppData\Local\Programs\Microsoft VS Code\Code.exe,3/14/2026 9:23:53 PM
20048,Code,C:\Users\lucas\AppData\Local\Programs\Microsoft VS Code\Code.exe,3/14/2026 9:23:52 PM
21676,Code,C:\Users\lucas\AppData\Local\Programs\Microsoft VS Code\Code.exe,3/14/2026 9:23:51 PM
23020,Code,C:\Users\lucas\AppData\Local\Programs\Microsoft VS Code\Code.exe,3/14/2026 9:23:51 PM
23664,Code,C:\Users\lucas\AppData\Local\Programs\Microsoft VS Code\Code.exe,3/14/2026 9:23:58 PM
27160,Code,C:\Users\lucas\AppData\Local\Programs\Microsoft VS Code\Code.exe,3/14/2026 9:47:34 PM
27204,Code,C:\Users\lucas\AppData\Local\Programs\Microsoft VS Code\Code.exe,3/14/2026 9:52:36 PM
27332,Code,C:\Users\lucas\AppData\Local\Programs\Microsoft VS Code\Code.exe,3/14/2026 9:52:30 PM
27608,Code,C:\Users\lucas\AppData\Local\Programs\Microsoft VS Code\Code.exe,3/14/2026 9:52:38 PM
3484,Obsidian,C:\Users\lucas\AppData\Local\Programs\Obsidian\Obsidian.exe,3/14/2026 9:24:44 PM
24052,Obsidian,C:\Users\lucas\AppData\Local\Programs\Obsidian\Obsidian.exe,3/14/2026 9:24:45 PM
10328,python,C:\Users\lucas\AppData\Local\Python\pythoncore-3.14-64\python.exe,3/14/2026 7:53:59 PM
13608,python,C:\Users\lucas\AppData\Local\Python\pythoncore-3.14-64\python.exe,3/14/2026 7:54:06 PM
10292,python,C:\Users\lucas\Documents\Code2025\ch57x-keyboard-tool-x86_64-pc-windows-msvc\venv\Scripts\python.exe,3/14/2026 7:53:59 PM
5452,explorer,C:\Windows\Explorer.EXE,3/14/2026 7:53:58 PM
10864,SystemSettings,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,3/14/2026 8:01:17 PM
2344,amdpmfservice,C:\Windows\System32\amdpmfservice.exe,3/14/2026 7:49:17 PM
7576,amdpmfserviceuser,C:\Windows\System32\amdpmfserviceuser.exe,3/14/2026 7:53:57 PM
17164,ApplicationFrameHost,C:\Windows\system32\ApplicationFrameHost.exe,3/14/2026 8:01:17 PM
11628,audiodg,C:\Windows\system32\AUDIODG.EXE,3/14/2026 8:30:19 PM
9916,backgroundTaskHost,C:\Windows\system32\backgroundTaskHost.exe,3/14/2026 7:56:40 PM
9724,cmd,C:\Windows\SYSTEM32\cmd.exe,3/14/2026 7:53:58 PM
2852,conhost,C:\Windows\system32\conhost.exe,3/14/2026 7:53:57 PM
8552,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:23:56 PM
9828,conhost,C:\Windows\system32\conhost.exe,3/14/2026 7:53:58 PM
11276,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:48:16 PM
11680,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:23:57 PM
13464,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:23:53 PM
17808,conhost,C:\Windows\system32\conhost.exe,3/14/2026 7:54:31 PM
